user,item,accessed
1,152,1
1,153,1
1,2176,1
1,154,1
1,734,1
1,6250,1
1,457,1
1,6264,1
1,6222,1
1,3574,1
1,1665,1
1,6224,1
1,6110,1
1,907,1
1,2299,1
1,4350,1
1,155,1
1,6252,1
1,2438,1
1,1281,1
1,156,1
1,6255,1
1,6238,1
1,5011,1
1,202,1
1,4220,1
1,6237,1
1,157,1
1,1504,1
1,6262,1
1,4770,1
1,158,1
1,1065,1
1,44,1
1,455,1
1,6259,1
1,1127,1
1,610,1
1,3052,1
1,6220,1
1,6231,1
1,716,1
1,6266,1
1,6235,1
1,4810,1
1,6225,1
1,6227,1
1,6251,1
1,6234,1
1,6269,1
1,6221,1
1,2702,1
1,2156,1
1,159,1
1,160,1
1,161,1
1,647,1
1,631,1
1,6244,1
1,6260,1
1,6229,1
1,2072,1
1,6254,1
1,2267,1
1,1695,1
1,5271,1
1,1514,1
1,938,1
1,1219,1
1,4829,1
1,4606,1
1,6233,1
1,2566,1
1,1714,1
1,1893,1
1,2955,1
1,2565,1
1,2597,1
1,162,1
1,4504,1
1,1965,1
1,163,1
1,1537,1
1,1829,1
1,2180,1
1,725,1
1,6230,1
1,6256,1
1,3650,1
1,5291,1
1,6249,1
1,6263,1
1,6267,1
1,526,1
1,1914,1
1,1315,1
1,4707,1
1,6239,1
1,6242,1
1,4494,1
1,6228,1
1,2864,1
1,2685,1
1,5988,1
1,6241,1
1,164,1
1,165,1
1,1119,1
1,166,1
1,167,1
1,257,1
1,132,1
1,6243,1
1,6245,1
1,1581,1
1,3483,1
1,1426,1
1,6046,1
1,1885,1
1,6253,1
1,590,1
1,6265,1
1,168,1
1,6027,1
1,6261,1
1,5274,1
1,169,1
1,6258,1
1,1440,1
1,6240,1
1,6246,1
1,1427,1
1,5404,1
1,5403,1
1,5402,1
1,4209,1
1,259,1
1,6108,1
1,784,1
1,6223,1
1,3018,1
1,170,1
1,1018,1
1,4156,1
1,5394,1
1,171,1
1,2233,1
1,1463,1
1,750,1
1,172,1
1,6247,1
1,32,1
1,765,1
1,6226,1
1,6248,1
1,3271,1
1,6257,1
1,6236,1
1,6232,1
1,6268,1
1,173,1
1,2255,1
2,419,1
2,431,1
2,415,1
2,2834,1
2,228,1
2,107,1
2,440,1
2,44,1
2,455,1
2,6302,1
2,1208,1
2,412,1
2,438,1
2,433,1
2,1248,1
2,4447,1
2,432,1
2,6301,1
2,407,1
2,416,1
2,434,1
2,437,1
2,409,1
2,435,1
2,284,1
2,414,1
2,4817,1
2,424,1
2,408,1
2,5096,1
2,428,1
2,429,1
2,413,1
2,1782,1
2,418,1
2,427,1
2,436,1
2,410,1
2,425,1
2,417,1
2,426,1
2,5691,1
2,1067,1
2,1564,1
2,442,1
2,421,1
2,422,1
2,441,1
2,1560,1
2,411,1
2,420,1
2,439,1
2,423,1
2,4587,1
2,1159,1
2,616,1
2,430,1
3,6307,1
3,530,1
3,535,1
3,533,1
3,1595,1
3,1233,1
3,534,1
3,776,1
3,524,1
3,537,1
3,538,1
3,5083,1
3,5399,1
3,527,1
3,536,1
3,526,1
3,766,1
3,292,1
3,532,1
3,531,1
3,6308,1
3,529,1
3,522,1
3,528,1
3,224,1
3,523,1
4,592,1
4,594,1
4,578,1
4,605,1
4,604,1
4,588,1
4,587,1
4,585,1
4,579,1
4,297,1
4,281,1
4,583,1
4,600,1
4,581,1
4,584,1
4,601,1
4,598,1
4,577,1
4,593,1
4,599,1
4,132,1
4,580,1
4,596,1
4,590,1
4,591,1
4,595,1
4,586,1
4,589,1
4,582,1
4,597,1
4,603,1
4,602,1
5,2957,1
5,6312,1
5,1657,1
5,276,1
5,6318,1
5,6327,1
5,820,1
5,653,1
5,281,1
5,2194,1
5,646,1
5,6035,1
5,960,1
5,716,1
5,645,1
5,3815,1
5,6329,1
5,912,1
5,2702,1
5,648,1
5,5031,1
5,647,1
5,6319,1
5,6314,1
5,1011,1
5,407,1
5,651,1
5,7200,1
5,376,1
5,11701,1
5,6313,1
5,3448,1
5,3692,1
5,900,1
5,976,1
5,6324,1
5,3762,1
5,1315,1
5,727,1
5,127,1
5,2035,1
5,1052,1
5,6326,1
5,6320,1
5,5716,1
5,1416,1
5,519,1
5,1419,1
5,6317,1
5,1690,1
5,1291,1
5,6046,1
5,1885,1
5,6316,1
5,708,1
5,6310,1
5,6328,1
5,99,1
5,168,1
5,6325,1
5,233,1
5,6321,1
5,652,1
5,949,1
5,3385,1
5,6309,1
5,6311,1
5,6315,1
5,649,1
5,6322,1
5,3895,1
5,6323,1
5,1160,1
5,48,1
5,650,1
5,1018,1
5,3016,1
5,1463,1
5,644,1
5,655,1
5,2808,1
5,654,1
6,685,1
6,692,1
6,6335,1
6,687,1
6,691,1
6,701,1
6,702,1
6,703,1
6,695,1
6,240,1
6,698,1
6,700,1
6,697,1
6,686,1
6,693,1
6,2323,1
6,504,1
6,798,1
6,689,1
6,6332,1
6,704,1
6,561,1
6,6333,1
6,6046,1
6,6334,1
6,699,1
6,690,1
6,91,1
6,1303,1
6,705,1
6,4247,1
6,694,1
6,684,1
6,688,1
6,696,1
7,279,1
7,790,1
7,74,1
7,823,1
7,822,1
7,820,1
7,812,1
7,810,1
7,813,1
7,793,1
7,814,1
7,818,1
7,808,1
7,252,1
7,819,1
7,809,1
7,817,1
7,512,1
7,821,1
7,816,1
7,802,1
7,806,1
7,800,1
7,798,1
7,805,1
7,388,1
7,811,1
7,795,1
7,794,1
7,311,1
7,801,1
7,797,1
7,299,1
7,804,1
7,796,1
7,807,1
7,803,1
7,791,1
7,815,1
7,792,1
7,171,1
7,799,1
8,674,1
8,6342,1
8,2980,1
8,407,1
8,6336,1
8,6338,1
8,6344,1
8,6343,1
8,881,1
8,1562,1
8,3760,1
8,884,1
8,6337,1
8,882,1
8,6341,1
8,883,1
8,885,1
8,400,1
8,6339,1
8,6340,1
9,276,1
9,1200,1
9,180,1
9,6364,1
9,1608,1
9,643,1
9,109,1
9,994,1
9,3052,1
9,1034,1
9,5433,1
9,112,1
9,6372,1
9,1481,1
9,5485,1
9,986,1
9,1094,1
9,6368,1
9,6370,1
9,991,1
9,993,1
9,2995,1
9,21,1
9,4916,1
9,5187,1
9,504,1
9,177,1
9,6256,1
9,3773,1
9,825,1
9,388,1
9,443,1
9,729,1
9,2399,1
9,992,1
9,2842,1
9,6367,1
9,990,1
9,987,1
9,984,1
9,248,1
9,6365,1
9,548,1
9,6371,1
9,3839,1
9,1082,1
9,4620,1
9,869,1
9,983,1
9,170,1
9,190,1
9,351,1
9,138,1
9,6374,1
9,4130,1
9,988,1
9,985,1
9,6366,1
9,765,1
9,6363,1
9,989,1
9,1431,1
9,6373,1
9,8,1
9,143,1
9,982,1
9,6369,1
10,1092,1
10,1097,1
10,1098,1
10,1099,1
10,1101,1
10,1103,1
10,6375,1
10,1096,1
10,610,1
10,1089,1
10,840,1
10,1109,1
10,1090,1
10,1091,1
10,1094,1
10,1093,1
10,1106,1
10,5912,1
10,1105,1
10,1108,1
10,1107,1
10,897,1
10,1462,1
10,2201,1
10,1102,1
10,6376,1
10,48,1
10,1095,1
10,565,1
10,847,1
10,1100,1
10,1104,1
11,2041,1
11,3771,1
11,1595,1
11,793,1
11,1142,1
11,240,1
11,1818,1
11,6394,1
11,716,1
11,4809,1
11,1135,1
11,1132,1
11,6380,1
11,6381,1
11,6398,1
11,6378,1
11,6405,1
11,6227,1
11,1144,1
11,1139,1
11,3311,1
11,1133,1
11,1140,1
11,6379,1
11,648,1
11,6395,1
11,1967,1
11,6391,1
11,6400,1
11,6387,1
11,307,1
11,6384,1
11,6404,1
11,3080,1
11,4318,1
11,2466,1
11,526,1
11,6385,1
11,1138,1
11,1137,1
11,2464,1
11,6403,1
11,1141,1
11,6401,1
11,6392,1
11,6399,1
11,6390,1
11,1426,1
11,1134,1
11,6383,1
11,6393,1
11,6397,1
11,6377,1
11,6396,1
11,6386,1
11,6388,1
11,1136,1
11,2768,1
11,2767,1
11,6389,1
11,6406,1
11,6402,1
11,6407,1
11,439,1
11,325,1
11,6408,1
11,6382,1
11,8,1
11,5701,1
11,6877,1
11,1143,1
12,779,1
12,1190,1
12,297,1
12,1170,1
12,1189,1
12,1169,1
12,560,1
12,1180,1
12,1269,1
12,1178,1
12,1034,1
12,6410,1
12,10,1
12,1182,1
12,612,1
12,1177,1
12,504,1
12,1173,1
12,1176,1
12,6256,1
12,1175,1
12,1174,1
12,1183,1
12,3826,1
12,704,1
12,1181,1
12,5254,1
12,894,1
12,1172,1
12,64,1
12,137,1
12,556,1
12,1179,1
12,1184,1
12,6409,1
12,56,1
12,1188,1
12,1187,1
12,1185,1
12,1186,1
12,1171,1
13,1439,1
13,6660,1
13,6416,1
13,6356,1
13,1213,1
13,600,1
13,1208,1
13,6423,1
13,854,1
13,433,1
13,2058,1
13,615,1
13,1212,1
13,6412,1
13,1214,1
13,1011,1
13,681,1
13,6420,1
13,6411,1
13,2566,1
13,1893,1
13,2565,1
13,243,1
13,5749,1
13,4191,1
13,11212,1
13,147,1
13,6418,1
13,2564,1
13,6422,1
13,6414,1
13,6419,1
13,6413,1
13,1210,1
13,4572,1
13,2003,1
13,6421,1
13,1020,1
13,6417,1
13,1209,1
13,1211,1
13,1171,1
13,2455,1
13,8,1
13,1215,1
13,6415,1
13,1207,1
14,6452,1
14,6451,1
14,1288,1
14,741,1
14,9861,1
14,6439,1
14,5922,1
14,6450,1
14,1289,1
14,1290,1
14,6446,1
14,1295,1
14,6460,1
14,4323,1
14,3101,1
14,2566,1
14,1893,1
14,2565,1
14,2597,1
14,1888,1
14,2610,1
14,1640,1
14,536,1
14,1292,1
14,6207,1
14,1810,1
14,1809,1
14,1811,1
14,6447,1
14,6448,1
14,6459,1
14,6455,1
14,6456,1
14,1291,1
14,6457,1
14,6449,1
14,4139,1
14,1440,1
14,6458,1
14,1833,1
14,1228,1
14,2179,1
14,6462,1
14,1287,1
14,9442,1
14,6454,1
14,6428,1
14,1024,1
14,1808,1
14,1294,1
14,1293,1
14,6453,1
14,1286,1
14,6442,1
14,3328,1
14,5375,1
14,6162,1
14,5931,1
14,6443,1
14,6444,1
14,6440,1
14,1524,1
14,6441,1
14,2132,1
14,1923,1
14,924,1
14,6143,1
14,6146,1
14,6138,1
14,2066,1
14,6438,1
14,1645,1
14,6437,1
14,2067,1
14,6434,1
14,2065,1
14,6435,1
14,6433,1
14,6445,1
14,5304,1
14,6432,1
14,2083,1
14,6431,1
14,6430,1
14,6429,1
14,6436,1
14,2172,1
14,6461,1
15,1439,1
15,1442,1
15,1441,1
15,407,1
15,1435,1
15,1434,1
15,1430,1
15,1443,1
15,1429,1
15,1119,1
15,1426,1
15,1436,1
15,1438,1
15,1437,1
15,1428,1
15,1440,1
15,1427,1
15,1433,1
15,1432,1
15,1444,1
15,1431,1
16,6528,1
16,5714,1
16,6557,1
16,6502,1
16,6510,1
16,6515,1
16,6545,1
16,6509,1
16,4665,1
16,6519,1
16,6491,1
16,6488,1
16,6487,1
16,6496,1
16,3621,1
16,2963,1
16,6490,1
16,6486,1
16,6521,1
16,6540,1
16,1473,1
16,2919,1
16,2280,1
16,110,1
16,3994,1
16,1477,1
16,6552,1
16,2888,1
16,6394,1
16,6506,1
16,1587,1
16,6508,1
16,6554,1
16,6553,1
16,416,1
16,775,1
16,5787,1
16,6511,1
16,2801,1
16,1468,1
16,978,1
16,3611,1
16,4757,1
16,21,1
16,6533,1
16,906,1
16,6532,1
16,5727,1
16,1640,1
16,967,1
16,5969,1
16,1472,1
16,4883,1
16,6538,1
16,6520,1
16,6541,1
16,6531,1
16,6530,1
16,5290,1
16,3424,1
16,126,1
16,3640,1
16,995,1
16,5518,1
16,1832,1
16,6543,1
16,515,1
16,6549,1
16,6548,1
16,1052,1
16,6512,1
16,2675,1
16,6517,1
16,1482,1
16,6492,1
16,2864,1
16,6527,1
16,2609,1
16,4086,1
16,6551,1
16,6555,1
16,4481,1
16,6503,1
16,6494,1
16,1809,1
16,1811,1
16,6529,1
16,2775,1
16,5893,1
16,1471,1
16,6536,1
16,1804,1
16,6542,1
16,1469,1
16,1885,1
16,6537,1
16,4233,1
16,1476,1
16,576,1
16,6489,1
16,6535,1
16,6507,1
16,6290,1
16,6558,1
16,3810,1
16,3547,1
16,6286,1
16,81,1
16,571,1
16,872,1
16,871,1
16,4245,1
16,1467,1
16,1474,1
16,1475,1
16,1324,1
16,3267,1
16,91,1
16,6500,1
16,6547,1
16,6522,1
16,6458,1
16,6526,1
16,6524,1
16,5737,1
16,6499,1
16,6525,1
16,6485,1
16,5641,1
16,1701,1
16,5298,1
16,5575,1
16,6501,1
16,6514,1
16,6534,1
16,6504,1
16,6523,1
16,4247,1
16,1572,1
16,6518,1
16,48,1
16,6546,1
16,3747,1
16,66,1
16,6556,1
16,6513,1
16,261,1
16,6278,1
16,1188,1
16,1705,1
16,1187,1
16,3008,1
16,1529,1
16,6280,1
16,6539,1
16,1186,1
16,6559,1
16,6516,1
16,6544,1
16,6498,1
16,6493,1
16,2645,1
16,6497,1
16,6495,1
16,6433,1
16,5304,1
16,6432,1
16,2083,1
16,6431,1
16,6430,1
16,6550,1
16,6505,1
16,1470,1
17,11700,1
17,3795,1
17,1549,1
17,6560,1
17,6572,1
17,1556,1
17,2988,1
17,228,1
17,1558,1
17,1553,1
17,1561,1
17,760,1
17,1554,1
17,6561,1
17,6562,1
17,993,1
17,859,1
17,1552,1
17,3921,1
17,5969,1
17,1559,1
17,6520,1
17,6565,1
17,1271,1
17,1550,1
17,1118,1
17,6571,1
17,6564,1
17,6566,1
17,6568,1
17,8963,1
17,2104,1
17,5494,1
17,1557,1
17,3721,1
17,259,1
17,64,1
17,6573,1
17,6563,1
17,1555,1
17,1548,1
17,2900,1
17,11703,1
17,1560,1
17,6567,1
17,6569,1
17,1551,1
17,10064,1
17,10397,1
17,8188,1
17,6570,1
17,1562,1
18,6594,1
18,1439,1
18,1601,1
18,3680,1
18,6608,1
18,6613,1
18,6599,1
18,6585,1
18,6588,1
18,1682,1
18,3803,1
18,1146,1
18,6609,1
18,6255,1
18,6574,1
18,1680,1
18,202,1
18,6610,1
18,6614,1
18,5657,1
18,8649,1
18,1504,1
18,2087,1
18,228,1
18,455,1
18,2964,1
18,6595,1
18,109,1
18,1500,1
18,484,1
18,6579,1
18,1674,1
18,6596,1
18,855,1
18,5124,1
18,6612,1
18,4733,1
18,962,1
18,774,1
18,6576,1
