user,item,rating
1,6264,7
1,4350,7
1,6252,5
1,202,9
1,6266,6
1,4810,5
1,6251,9
1,160,9
1,161,8
1,631,10
1,6244,7
1,6260,8
1,6229,10
1,2072,9
1,6254,8
1,1514,9
1,2566,9
1,1714,9
1,1893,9
1,2955,9
1,2565,9
1,2864,8
1,5988,6
1,164,7
1,1119,9
1,167,8
1,6265,8
1,1440,9
1,1427,9
1,5404,8
1,259,7
1,4156,8
2,419,9
2,415,10
2,2834,9
2,228,10
2,107,10
2,440,9
2,44,10
2,455,10
2,6302,10
2,1208,9
2,412,10
2,438,10
2,433,10
2,432,9
2,6301,9
2,407,10
2,416,10
2,437,8
2,414,9
2,424,10
2,408,9
2,5096,9
2,428,10
2,429,10
2,418,8
2,427,8
2,410,7
2,425,9
2,417,10
2,5691,10
2,1067,9
2,1564,7
2,1560,10
2,411,9
2,439,9
2,423,10
2,1159,10
2,616,8
2,430,9
5,2957,10
5,6318,10
5,6327,5
5,716,5
5,645,7
5,648,10
5,407,10
5,651,10
5,7200,10
5,376,10
5,11701,9
5,976,10
5,3762,9
5,6326,9
5,6320,9
5,519,6
5,1419,6
5,6317,8
5,1291,9
5,6046,10
5,6310,10
5,6328,5
5,168,10
5,949,10
5,6309,10
5,649,4
5,6322,10
5,48,9
5,1018,10
5,644,5
7,790,8
7,74,7
7,823,8
7,822,7
7,820,7
7,813,8
7,793,6
7,808,7
7,809,7
7,821,9
7,806,7
7,800,8
7,805,6
7,388,7
7,811,5
7,794,7
7,801,7
7,807,6
7,791,7
7,815,7
7,792,7
7,799,7
9,276,10
9,180,5
9,109,5
9,3052,5
9,5433,10
9,6372,7
9,5485,10
9,6368,5
9,825,10
9,388,8
9,2399,7
9,2842,4
9,987,10
9,984,10
9,1082,4
9,170,8
9,351,8
9,138,5
9,6374,9
9,765,10
9,989,4
9,8,5
9,143,10
9,982,4
9,6369,3
11,2041,9
11,3771,8
11,793,5
11,1142,5
11,1818,10
11,716,9
11,1135,10
11,1132,6
11,6381,7
11,6378,10
11,1144,6
11,1139,10
11,1140,7
11,6379,4
11,1967,9
11,307,7
11,6384,9
11,3080,7
11,526,5
11,6385,7
11,2464,8
11,6403,9
11,1141,5
11,6401,10
11,6390,8
11,1426,9
11,1134,8
11,6383,7
11,6393,7
11,6397,8
11,6377,7
11,6396,8
11,6388,9
11,1136,10
11,2768,9
11,6406,7
11,6407,5
11,325,8
11,8,1
11,5701,7
11,6877,7
11,1143,6
14,6452,10
14,6451,10
14,1288,8
14,741,10
14,9861,7
14,6439,8
14,5922,10
14,6450,10
14,1289,5
14,6446,10
14,3101,6
14,2566,9
14,1893,9
14,2565,9
14,2597,9
14,1810,10
14,1811,10
14,6447,10
14,6448,10
14,6459,6
14,6449,10
14,4139,8
14,1440,9
14,6458,6
14,1833,10
14,6462,7
14,1287,8
14,1808,10
14,1294,10
14,6453,8
14,6442,7
14,5375,10
14,6162,10
14,5931,8
14,6443,8
14,6444,8
14,6440,10
14,1524,10
14,6441,9
14,2132,10
14,1923,10
14,924,9
14,6143,10
14,6146,10
14,6138,10
14,6438,10
14,1645,10
14,6437,10
14,2067,9
14,6434,10
14,6435,10
14,6433,10
14,6445,10
14,5304,8
14,6432,8
14,2083,10
14,6431,8
14,6430,9
14,6429,10
14,6436,10
14,2172,10
16,6528,8
16,5714,9
16,6515,10
16,6509,8
16,4665,10
16,6519,9
16,6521,10
16,6540,7
16,110,9
16,6552,9
16,6394,9
16,6506,9
16,1587,9
16,6508,10
16,6553,9
16,416,5
16,5787,10
16,6511,8
16,2801,8
16,3611,9
16,21,4
16,6533,10
16,5727,7
16,1640,10
16,967,10
16,5969,6
16,6530,9
16,3424,8
16,995,9
16,1832,10
16,6543,7
16,6548,10
16,6512,9
16,6517,10
16,6527,9
16,6551,9
16,6503,10
16,6494,10
16,1809,10
16,1811,10
16,6529,10
16,1471,8
16,6542,5
16,1469,10
16,4233,10
16,6535,8
16,6507,7
16,6290,10
16,3810,8
16,3547,9
16,81,10
16,571,9
16,872,10
16,871,10
16,1324,8
16,3267,10
16,6458,10
16,6526,9
16,6524,9
16,6525,9
16,5641,5
16,5298,9
16,5575,5
16,6514,7
16,6534,10
16,6523,9
16,1572,10
16,6546,9
16,3747,9
16,6556,8
16,6513,10
16,261,10
16,1705,8
16,1529,8
16,6559,10
16,6544,5
16,6433,10
16,5304,10
16,6432,10
16,6431,10
18,1601,8
18,3680,9
18,3803,9
18,1680,9
18,8649,9
18,228,9
18,6595,7
18,855,9
18,6612,6
18,774,7
18,6576,9
18,2836,5
18,6575,9
18,2643,8
18,1965,8
18,485,8
18,3448,8
18,1039,7
18,1681,7
18,14,10
18,1271,6
18,6586,8
18,2035,7
18,15,9
18,6603,8
18,1268,7
18,856,8
18,1701,6
18,1517,5
18,1715,6
18,385,10
18,6583,9
18,6592,10
18,6584,8
18,761,8
18,6589,10
18,6611,9
18,6616,7
